,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
38546,0.0219806221,76681.9615460857,36963814.731458455,27.16,0
38547,0.1941064553,12627.1292880141,53106235.35091919,22.43,0
38556,0.1185877909,71820.8993171524,9472979.504261376,23.5,0
38557,0.0136157002,46988.2818536584,280767.586223198,28.2,0
38558,0.1132504611,59736.1954337996,3730313.649477729,23.6,0
38567,0.1132504611,54394.0139828066,8609273.583853653,23.6,0
38569,0.0748238376,34083.3973014318,8926614.947093172,24.5,0
38574,0.0682401509,51547.8569242543,56017488.06600626,24.7,0
38579,0.0651688382,50596.4408636099,3870242.096592622,24.8,0
38580,0.0284472297,25938.5478358605,3472741.392515475,26.6,0
38583,0.0326617897,66344.9791509518,42404017.733479805,26.3,0
38588,0.1636967205,91258.1349327018,61960556.902938046,22.8,0
38593,0.6223575734,120824.0486677436,60911080.00348922,19.9,0
38595,0.4305662442,21549.6005951174,24805775.46393616,20.7,0
38599,0.130028927,64623.5133230275,60453616.04501912,23.3,0
38603,0.0052244428,84017.788521525,62873525.19249976,30.28,0
38613,0.0358129403,33650.1150421659,7004331.071539005,26.1,0
38629,0.0073458149,64845.1001279513,74279102.1037895,29.54,0
38630,0.0562393094,46960.0152079874,28017293.678431816,25.12,0
38632,2.2184006242,43617.895051689,14841515.986122876,17.14,1
38635,0.1032856481,28966.1047135442,16650126.214741826,23.8,0
38641,0.1425738833,64284.0764056121,48487730.02054616,23.1,0
38649,0.4721064988,100838.3408258785,65958831.93265592,20.5,0
38659,0.2366137501,48933.8593110392,9829593.165695217,22.0,1
38660,0.0594346868,68981.6176117175,3747445.19363588,25.0,0
38661,0.0375007522,41486.9610609997,3422867.721585312,26.0,0
38662,0.1492931834,27501.8705674017,13004962.90991896,23.0,0
38664,0.0082042706,81733.969457293,69678078.81042424,29.3,0
38665,0.0259441818,59336.6641511522,51958930.405402765,26.8,0
38673,0.1714115092,72764.5696254047,50992233.14324334,22.7,0
38683,0.0783501764,90636.3180486619,71446440.67458627,24.4,0
38691,0.4943561926,81798.2363846502,69934725.32584736,20.4,0
38699,0.0342010925,16722.2224889614,3444090.617890093,26.2,0
38710,0.5943468684,50376.7091175862,12741193.247036427,20.0,0
38711,0.0430566244,32892.8081717521,2661149.939613069,25.7,0
38719,0.0342010925,51345.1878619939,46395839.63467843,26.2,0
38720,0.2924421572,138615.0426589752,69976418.17741743,21.54,0
38734,0.4721064988,47920.0547008372,55783870.49709307,20.5,0
38744,0.1714115092,26468.2391585504,12795241.596126812,22.7,0
38746,0.1361570015,33999.0626682969,11050568.105885671,23.2,0
38747,0.0594346868,59068.1472725099,5339873.290612908,25.0,0
38749,1.2191018176,64637.6024559391,55937898.57337504,18.44,0
38750,0.4508582062,59547.5250249046,68928371.73280154,20.6,0
38754,0.0517654482,42757.3948492523,1103943.314746711,25.3,0
38756,0.8995803882,51378.7342735764,57808662.4384799,19.1,0
38781,0.0622357573,23817.5109461106,5481876.420828109,24.9,0
38782,0.0839537266,16207.0423915642,70019573.16864929,24.25,0
38784,0.0142573883,83816.9858365254,62766746.017719865,28.1,0
38806,2.6305101311,89057.4896828016,68868530.58019008,16.77,0
38814,0.2157943048,15044.4851488475,28277446.42385264,22.2,0
38815,0.3750075218,52155.0988605256,52677712.41686184,21.0,0
38821,0.0430566244,34172.2217723791,19227309.158771303,25.7,0
38829,0.1132504611,40272.4493158579,8693820.914454332,23.6,0
38830,0.0941976306,31946.99463813,5428305.438540896,24.0,0
38833,0.0995497053,83743.2490458539,51552737.70604373,23.88,0
38837,0.2477650126,55098.3149077637,7828697.748705588,21.9,0
38844,0.0271668934,65477.4651500933,42007221.05193868,26.7,0
38849,0.0130028927,48153.7095514654,202719.086291058,28.3,0
38856,0.3281254972,85052.9108866756,56680631.96677024,21.29,0
38862,0.0651688382,45650.246001246,7162996.277876723,24.8,0
38865,0.0326617897,44888.0203877767,31343106.819816805,26.3,0
38871,0.1185877909,12610.4012533884,32621963.27028044,23.5,0
38881,0.0651688382,37886.1761073622,4253962.233839831,24.8,0
38891,0.1241766613,28341.8873622958,49891349.254536,23.4,0
38892,0.4018277992,66388.0383670648,59494297.60803873,20.85,1
38902,0.3750075218,79629.9534302753,37804193.63160028,21.0,1
38906,0.0297879063,52965.0897038212,60422863.450239815,26.5,0
38908,0.3926810818,31420.6691978183,68632257.12549184,20.9,0
38922,0.1968067451,29808.8338098876,8437641.922294537,22.4,0
38939,0.0259441818,36446.2176407926,1298487.804949063,26.8,0
38940,0.0682401509,19510.8258552885,15342468.209959632,24.7,0
38944,0.0899580388,93612.6577793394,71385193.84054914,24.1,0
38946,0.0457130269,61963.9041820518,42881551.17371721,25.57,0
38947,8.8723768253,51827.1920855888,18224809.67061008,14.13,1
38950,0.0179489885,66122.1739868656,36504429.51746352,27.6,0
38956,0.0941976306,70174.2235267598,2563104.752237177,24.0,0
38957,0.0206081961,21596.4908613729,2656442.094644169,27.3,0
38960,0.0430566244,25272.9416570609,73161560.35761955,25.7,0
38966,0.0517654482,55944.9892943485,60025177.91799429,25.3,0
38968,0.2032544107,58965.7085313401,58893920.36591234,22.33,0
38975,0.828018383,70576.1207096742,33678581.85236477,19.28,0
38978,0.2118556149,86276.6915979744,64244983.17328701,22.24,0
38979,0.1563291544,93402.4507116361,70362437.49928845,22.9,0
38987,0.0311917671,47762.8874586281,57285.646997183,26.4,0
38997,0.1081533507,23855.3339361018,19634581.10204388,23.7,0
38998,0.1185877909,37736.3391998285,5015015.546952895,23.5,0
39002,0.0068240151,64904.4173706692,70852516.30666275,29.7,0
39003,0.0542050786,67026.5980716524,58295743.0951024,25.2,0
39004,0.5943468684,24722.5904967444,17749451.27868398,20.0,0
39008,0.0517654482,19551.5577490618,8815220.558345487,25.3,0
39009,0.0859092601,58574.0145011036,65273822.1639419,24.2,0
39010,0.0494356193,49242.7761042294,43130295.16669779,25.4,0
39011,0.0941976306,37626.820726077,13454298.81219771,24.0,0
39021,0.7835017643,67215.8916691834,34179794.88512809,19.4,0
39023,0.0542050786,62450.2830079426,67095074.833755605,25.2,0
